programa,tipo,area_conocimiento,modalidad,duracion,sedes_activas,perfil_egreso
Maestría en Inteligencia Artificial Aplicada,Posgrado,Tecnologías de la Información y la Comunicación,En Linea,2 semestres (1 año),Centros UTPL a nivel nacional e internacional,"El perfil de egresado de la Maestría en Inteligencia Artificial Aplicada se caracteriza por ser un profesional altamente especializado y competente en el campo de la inteligencia artificial, capaz de diseñar, implementará y evaluar sistemas inteligentes que resuelvan problemas reales en diferentes áreas de conocimiento. Además, cuenta con una sólida formación ética que le permite desarrollar soluciones innovadoras y responsables."
Doctorado en Química,Posgrado,"Ciencias Naturales, Matemáticas y Estadística",Presencial,4 años,Sede Matriz - Loja,"Dominio del objeto de investigación en la línea desarrollada durante el programa. Manejo del marco de referencia integral del campo de conocimiento correspondiente a la línea desarrollada durante el programa. Pensamiento analítico, contextual, comparativo y relacional. Manejo avanzado de los métodos y técnicas de investigación en el campo de conocimiento, correspondiente a la línea desarrollada durante el programa. Capacidad de teorización y/o de formalización conceptual. Destrezas para la identificación y sistematización de la información pertinente. Manejo riguroso de la redacción y comunicación académicas, también en idioma inglés. Sentido ético y propositivo para identificar los principales problemas locales y regionales, y proponer soluciones desde el conocimiento de las ciencias químicas."
Maestría en Criminología y Política Criminal,Posgrado,Administración de Empresas y Derecho,En línea,2 Semestres (1 año),Centros UTPL a nivel nacional e internacional,"El perfil de egreso de la Maestría en Criminología y Política Criminal abarca la obtención de conocimientos teóricos sólidos, destrezas en métodos de investigación criminológica, capacidad para realizar análisis críticos de políticas y prácticas, comprensión del comportamiento delictivo, así como conocimientos éticos y en derechos humanos. Además, implica el desarrollo de habilidades en trabajo interdisciplinario y competencias comunicativas para desempeñarse de manera efectiva en diversas áreas relacionadas con la criminología y la justicia penal. Analizar críticamente los fenómenos delictivos ylos desafíos del sistema de justicia penal desde una perspectiva teórica criminológica fundamentada en los derechos humanos. Desarrollar habilidades esenciales como la comunicación efectiva, elpensamiento crítico y la resolución de problemas para expresar ideas de manera clara, analizar situaciones complejas y diseñar soluciones bien fundamentadas que promuevan prácticas justas en el campoprofesional. Aplicar métodos y técnicas de investigación criminológica con rigurosidad académica y ética profesional. Diseñar protocolos de evaluación de políticas públicas en seguridad ciudadana conobjetividad y enfoque interdisciplinario, integrando conocimientos tanto previos como posteriores a la ocurrencia del delito o desviación, mediante la formulación, diseño, implementación y evaluación de políticas criminales que apliquen estrategias para promover el ejercicio de derechos y el cumplimiento de deberes. Comprender los fundamentos teóricos y prácticos de la criminología y política criminal con sentido crítico y ético, aplicando un enfoque reflexivo y transdisciplinario para contribuir al mejoramiento de la calidad de vida, la preservación de derechos humanos, el desarrollo social sostenible y la implementación de políticas criminales justas y efectivas. Promover el pensamiento crítico, creative y ético, incorporando principios fundamentales como el Estado de Derecho, la paz, la conciencia ecológica y los Derechos Humanos en el análisis de políticas criminales y la práctica criminológica. Abordar los fenómenos delictivos con profundo respeto a la interculturalidad, plurinacionalidad,diversidad de género, derechos de migrantes y biodiversidad, a través de un enfoque inclusivo, respetuoso de la diversidad y vinculado a la resolución pacífica de conflictos."
Seguridad en manipulación almacenamiento y transporte de sustancias químicas controladas,Educación continua,Técnicos,En línea,20 horas académicas (16 horas virtuales y 4 horas de trabajo autónomo),Centros UTPL a nivel nacional e internacional,"Aplicar principios de gestión segura en el transporte, almacenamiento y manejo de materiales peligrosos. Identificar riesgos asociados al uso y manipulación de materiales peligrosos en la cadena de valor. Ejecutar protocolos de respuesta ante emergencias con materiales peligrosos. Fomentar una cultura de prevención y seguridad en entornos laborales. Diseñar planes de contingencia y protocolos de seguridad industrial."
"Seguridad en manipulación, almacenamiento y transporte de explosivos",Educación continua,Técnicos,En línea,20 horas académicas (16 horas virtuales y 4 horas de trabajo autónomo),Centros UTPL a nivel nacional e internacional,"Aplicar técnicas seguras de manipulación de explosivos en actividades de minería, construcción, petróleo y geofísica. Cumplir con la normativa legal vigente relacionada con el uso, transporte y almacenamiento de explosivos. Controlar los riesgos asociados a la manipulación y almacenamiento de explosivos para proteger la integridad física."
Computación,Carrera de grado,Facultad de Ingenierías y Arquitectura,Presencial,9 ciclos (4 años y medio),Sede Matriz - Loja,"Contarás con los conocimientos y capacidades técnicas para diseñar e implementar soluciones computacionales que integren métodos de software y tecnologías de vanguardia. Serás capaz de desenvolverte en múltiples disciplinas de todos los sectores productivos del país, como: educación, salud, comercio, medio ambiente, telecomunicaciones, entretenimiento, tecnologías de la información, entre otros. Desarrollarás habilidades específicas para brindar apoyo en temas de infraestructura tecnológica, desarrollo de software, seguridad informática, manejo de información, sistemas inteligentes y emprendimiento con base tecnológica."
Arquitectura,Carrera de grado,Facultad de Ingenierías y Arquitectura,Presencial,9 ciclos (4 años y medio),Sede Matriz - Loja,"Contarás con las capacidades para aplicar los conceptos urbanos-arquitectónicos y tecnológicos-constructivos en la generación de soluciones y mejoras del hábitat. Te preparamos para contribuir a la transformación de la matriz productiva acorde a los objetivos del Plan Nacional del Buen Vivir y al desarrollo sostenible del Ecuador. Aplicamos sistemas constructivos apropiados para el diseño y ejecución de proyectos urbanos, arquitectónicos y patrimoniales. Aportarás en el mejoramiento de la calidad de vida y en el desarrollo y crecimiento sostenible de las ciudades; así como la responsabilidad que adquieren frente a los valores humanos, sociales, culturales y del medio ambiente."
Ingeniería Civil,Carrera de grado,Facultad de Ingenierías y Arquitectura,Presencial,9 ciclos (4 años y medio),Sede Matriz - Loja,"Contarás con los conocimientos científicos, metodológicos, tecnológicos e investigativos para disponerlos en el ejercicio profesional, formulando proyectos de ingeniería civil de alta calidad, resistentes y seguros para los usuarios finales, y contribuir de esta manera a la solucion de problemas existentes in la sociedad, desde una conciencia social y ambiental. Aplicarás las normas nacionales e internacionales, con criterio y habilidades técnicas para la evaluación y elección de materiales adecuados para la construcción de obras de calidad, así como para el liderazgo del personal dentro de una obra y su correcta operación de maquinaria; el profesional crea y propone soluciones innovadoras para optimizar recursos disponibles y beneficiar a la mayor cantidad de personas a través de obras de todo tipo dentro de los campos de la ingeniería civil."
Gastronomía,Carrera de grado,Facultad de Ciencias Económicas y Empresariales,Presencial,8 ciclos (4 años),Sede Matriz - Loja,"Nuestros estudiantes se caracterizan por tener un alto perfil administrativo para el manejo de empresas de alimentos y bebidas. Te preparamos para generar emprendimientos con potencial de internacionalización y fortalecimiento del patrimonio culinario del país. Habrás adquirido conocimientos y habilidades para ejecutar procesos culinarios –utilizando técnicas y métodos de transformación alimentaria. Utilizarás nuevas tecnologías para la gastronomía, y la adecuada combinación de alimentos saludables que aporten al mejoramiento de la salud y la calidad de vida de la población."
Psicología,Carrera de grado,Facultad de Ciencias del Comportamiento,"Presencial, Distancia",4 años (8 ciclos),Sede Matriz - Loja / Centros Universitarios (Nacional e Internacional),"El profesional en Psicología de la Universidad Técnica Particular de Loja, cuenta con conocimientos en el área de las ciencias sociales y del comportamiento humano, desarrollará competencias para evaluar, diagnosticar e intervenir en los niveles primarios y secundarios en los contextos individual, social y organizacional. Seleccionará, diseñará, aplicará y evaluará procesos de orientación y asesoramiento en los diferentes campos de actuación del psicólogo, para contribuir al bienestar integral del ser humano y la sociedad en general. Desde una base sólida de conocimientos teóricos, científicos y metodológicos y una formación humana con valores y principios éticos, el profesional se encuentra en la capacidad de realizar investigaciones en este campo del saber, orientadas especialmente al estudio de problemas con enfoque social y comunitario."
